summary_id,year,company_name,total_offers,ctc_lpa,raw_source_table
1,2019,10 Times,3,2.94,company_2019
2,2019,Amazon,5,5.5,company_2019
3,2019,Aradhana Engg Works,1,3.12,company_2019
4,2019,Ashok Leyland,2,5,company_2019
5,2019,Avartan Technologies Pvt. Ltd.,1,3,company_2019
6,2019,Bosch,23,5,company_2019
7,2019,Byju'S,11,7,company_2019
8,2019,Caddesk India,4,3,company_2019
9,2019,Cadence,1,3.5,company_2019
10,2019,Capegemini,1,3.8,company_2019
11,2019,Capgemini,15,3.8,company_2019
12,2019,Certybox,4,3.6,company_2019
13,2019,Chegg India Pvt. Ltd,36,3.5,company_2019
14,2019,Cloudwala,1,3.12,company_2019
15,2019,Codchef,1,4.2,company_2019
16,2019,Cognizance,6,3.83,company_2019
17,2019,Cognizant,18,3.38,company_2019
18,2019,Conqsys,2,3,company_2019
19,2019,Contata,2,4,company_2019
20,2019,"Content Writing Black Board Radio, Jhs",1,3.25,company_2019
21,2019,Cusmat,1,6.13,company_2019
22,2019,Cvent (Pool At Galgotia),1,6.78,company_2019
23,2019,Eckovation,6,6,company_2019
24,2019,Emerson,2,3.6,company_2019
25,2019,Eta Engineering Pvt. Ltd.,5,3.5,company_2019
26,2019,Extramarks,6,4.2,company_2019
27,2019,Fiserv,6,4,company_2019
28,2019,Gary Global Solutions,2,3.15,company_2019
29,2019,Ginger Webs,1,3.4,company_2019
30,2019,Gis Software,1,3,company_2019
31,2019,"Global Clutch Industries, Ahmedabad",1,4,company_2019
32,2019,Global Logic,6,4.81,company_2019
33,2019,Gradeup,4,5.1,company_2019
34,2019,Greater Noida - Solar,1,3.25,company_2019
35,2019,Hcl,4,3.5,company_2019
36,2019,Huddle Solutions,4,3.6,company_2019
37,2019,Igniter'S Hub,4,3.5,company_2019
38,2019,Impetus,1,3.6,company_2019
39,2019,Impitus Infotech,2,5,company_2019
40,2019,India Mart,3,3.2,company_2019
548,2023,Nm Tronics,2,6.5,company_2023
41,2019,India Mart (Pool In Jssate),5,5,company_2019
42,2019,Indiamart.,1,3.5,company_2019
43,2019,Indian Air Force,1,8,company_2019
44,2019,Indian Post Office,1,4.25,company_2019
45,2019,Indusland Bank (Pool In Jss),2,4,company_2019
46,2019,Infoedge,1,6.5,company_2019
47,2019,Infogain,3,3.5,company_2019
48,2019,Inn Think Technologies,1,3.5,company_2019
49,2019,Isterling And Wilson,1,2.95,company_2019
50,2019,Itbd,1,3,company_2019
51,2019,Jaro Education (Pool Campus),3,12,company_2019
52,2019,Jaro Topscholars,1,4.5,company_2019
53,2019,Je Indian Railway(Govt.),1,4.5,company_2019
54,2019,Jellyfish Technologies Pvt. Ltd,2,3,company_2019
55,2019,Libsys,2,4.5,company_2019
56,2019,Lutron,1,4.5,company_2019
57,2019,Lyberate India Pvt Ltd,1,3.5,company_2019
58,2019,Makino Auto Pvt,3,3,company_2019
59,2019,Mavenir Systems,1,6.37,company_2019
60,2019,Mckinsol,4,3,company_2019
61,2019,Mcm Encore,1,3.6,company_2019
62,2019,Metal Craft Construction Pvt Ltd,1,4,company_2019
63,2019,Mitutoyo,1,3,company_2019
64,2019,Motherson,1,3.8,company_2019
65,2019,Mtree Software Pvt. Ltd,1,5.5,company_2019
66,2019,Multitex,3,3.5,company_2019
67,2019,Nagarro,1,3.1,company_2019
68,2019,Newgen Software Technologies Ltd.,12,4.5,company_2019
69,2019,Nic Project,1,3.5,company_2019
70,2019,Ntt Data,3,3.2,company_2019
71,2019,Parallel Dots,1,5,company_2019
72,2019,Paytm Payment Bank,1,3.3,company_2019
73,2019,Pitney Bowes,1,8.12,company_2019
74,2019,Rate Gain,4,4,company_2019
75,2019,Razorpay,1,12,company_2019
76,2019,Roulunds Braking (India)Pvt. Ltd.,1,3,company_2019
77,2019,Samishti Infotech,3,4.06,company_2019
78,2019,Shiprocket,1,5,company_2019
79,2019,Simon,2,4,company_2019
80,2019,Skyhawk Aviation,1,4,company_2019
81,2019,Spectrum Talent Management,2,3,company_2019
82,2019,Squadrun Solutions Private Limited,3,3.4,company_2019
83,2019,State Street Corporate Service Pvt,1,3.5,company_2019
84,2019,Tak Technologies,7,3.5,company_2019
85,2019,Talent Cabin Pvt Ltd,2,3.5,company_2019
86,2019,TCS,92,3.36,company_2019
87,2019,Technoviz Autoamtion,1,3.16,company_2019
88,2019,Teleperformace,1,3.5,company_2019
89,2019,Times Internet Ltd.,2,3.5,company_2019
90,2019,Timex,2,3,company_2019
91,2019,Torrent Gas,1,3.25,company_2019
92,2019,Torrent Power,10,3.27,company_2019
93,2019,"Tricolite, Gurugram",1,3.25,company_2019
94,2019,Tricon,2,5,company_2019
95,2019,Trion Solutions,1,4.25,company_2019
96,2019,Tsys,1,4.33,company_2019
97,2019,Unified Cloud,13,3,company_2019
98,2019,Vaidik Eduservices Pvt Ltd,2,3.16,company_2019
99,2019,Veda Iit,1,3.6,company_2019
100,2019,Vedanta,2,4,company_2019
101,2019,Vedantu (Pool At Niet),6,7,company_2019
102,2019,Virtusa,1,3.3,company_2019
103,2019,Visit,1,7.2,company_2019
104,2019,Webkul,9,3.2,company_2019
105,2019,Wiitybrain,1,3,company_2019
106,2019,Wipro (Pool Campus In Jss),48,3.5,company_2019
107,2019,Zia Semiconductor,2,4.5,company_2019
108,2019,Zycus (Pool Campus In Jss),1,7,company_2019
