"S. 
No.","Name of Company","No. Of 
Offers","CTC (LPA)"
"1","Accenture","74","4.5"
"2","Accuratics Softwares","1","3"
"3","Addverb","2","6.37"
"4","AKASH + Byjus","3","7"
"5","AKS IT Services","18","4.5"
"6","Amazon (Internship)","2","13.2"
"7","Amazon","1","47"
"8","APCO Infra Ltd","1","4.8"
"9","Appleute","1","18"
"10","Apquod","1","8"
"11","Aptitech Education","1","5"
"12","Artius Interior Products Pvt. Ltd.","1","3.01"
"13","ASA Industries","2","5"
"14","Avaada","1","5"
"15","Avlinq Solutions & Services Pvt Ltd.","1","3.5"
"16","Axeno Consulting Private Limited","4","4.5"
"17","Axismobi","1","4.5"
"18","Axtria Ingenious Insights","7","5"
"19","Baba Brick Field","1","1.8"
"20","Bennet Univ","1",""
"21","Bhartiya Airways","10","4"
"22","Binmile","1","3.6"
"23","Bizz2Credit","6","7.5"
"24","Blinkit","4","20"
"25","Bright Money","1","18.92"
"26","Bristlecone","4","4.75"
"27","BY JU's","8","10"
"28","C2FO","2","33.8"
"29","Cadence","1","13"
"30","CCC Digital India","1","6"
"31","CETPA","1","5"
"32","Chaitanya","5","3"
"33","CMR Green Technologies Ltd","1","4.5"
"34","Coforge","4","4.25"
"35","Comviva","2","3.75"
"36","constems AI system Pvt Ltd","1","5"
"37","Contify","1","3.6"
"38","Copper Connection Ltd.","1","3"
"39","Credencys Solutions Inc.","1","5.2"
"40","CRTD Technologies Pvt. Ltd.","49","10"
"41","CSC e-governance India Ltd.","3","3.6"
"42","CSG India Pvt. Ltd","14","7.5"
"43","Cybix","1","3.5"
"44","Cyfuture","2","5"
"45","D S Power Corporation","1","7.2"
"46","Dive Engg","1","12"
"47","DMI Finance","6","7.6"
"48","EgonZehnder","1","3.3"
"49","Ellipsol","1","5"
"50","Emecon","1","3"
"51","Emerson","9","4.86"
"52","Ericsson","8","3.75"
"53","ETA","16","3.46"
"54","Evertz India Pvt. Ltd","6","5.5"
"55","EXL Digital","8","5"
"56","f1Studioz","1","8"
"57","Formulaic Engineers Pvt. Ltd.","1","3.5"
"58","Fynd","1","7"
"59","G.Bhaiyajii India","1","6"
"60","GA Morgan","4","3"
"61","Geppert","2","3.6"
"62","Google","1","29"
"63","Graas","1","5.8"
"64","Greynodes","1","4"
"65","Hack withInfy","1","8"
"66","HashedIn by Deloitte","9","8.1"
"67","HCL","26","4.25"
"68","Hely International","1","4"
"69","Herody","1","4.5"
"70","Hexaware Technologies","21","4"
"71","Hike Education","4","5.58"
"72","Hostbooks","10","4"
"73","Huron","12","6.07"
"74","IBM","10","4.5"
"75","Idemia","11","5"
"76","Ikargos","4","5.83"
"77","Infosys Hackwithinfy","1","8"
"78","INFRA.MARKET","3","4"
"79","Inogus","1","3.5"
"80","Intellipaat","7","9"
"81","Inverted","5","3"
"82","ION Group","3","14.1"
"83","ISGEC","4","5"
"84","Jackson","23","5"
"85","JARO Education","2","6.6"
"86","JK Lakshmi Cement Ltd.","1","4.5"
"87","JKSLEB","4","4"
"88","Josh Tech","3","18.1"
"89","JP Morgan Chase","1","38.11"
"90","JSW","15","6.5"
"91","Jubilant FoodWorks","9","5"
"92","K International","1","7.25"
"93","Kazam","1","7"
"94","KMG IT","1","3.25"
"95","knocial","21","10.2"
"96","Koi Reader Technologies Pvt. Ltd.","1","3"
"97","Lutron","2","3.98"
"98","M carbon","1","6"
"99","M Tree","5","8"
"100","Magic EdTech","5","6"
"101","mCarbon","1","5"
"102","Motherson-sumi","2","3.12"
"103","MS Cube Systems","1","5.4"
"104","Mspark Futuristics &amp; Associates","2","3.2"
"105","MTalkz","4","7"
"106","Mudraksh & McShaw Advisory LLP","1","5"
"107","myCaptain","1","6"
"108","Nagarro","9","4.5"
"109","nbyula","1","10"
"110","New Gen","32","4.25"
"111","NewGenesis","1","7"
"112","NF3X Labs PTE LTD","1","24"
"113","NM Tronics","2","6.5"
"114","OmniJobs","1","4.5"
"115","Onextel","4","5"
"116","Orane","5","5.25"
"117","Paytail","2","11"
"118","Phronesis Partners","5","4.5"
"119","Physics Wallah","1","4.8"
"120","PlayO","1","9"
"121","PocketFM","1","20"
"122","PPLWork","1","8"
"123","Prospecta","1","6"
"124","Punj Lloyd Group","2","3"
"125","Pysis","1","4.8"
"126","Qikfox","3","4"
"127","Qualtech","3","3.6"
"128","Quest Global","9","3.25"
"129","Quokka Labs","11","6"
"130","RACL","6","3"
"131","Rate Gain","2","6"
"132","RDC concrete (India) Pvt Ltd","1","4"
"133","RemoteState","1","5"
"134","Rhampage","1","8.4"
"135","RTC Tek","2","3.5"
"136","RxLogix","8","6"
"137","S&P Global","4","9"
"138","Sage Technologies","1","3.5"
"139","Saitech","1","2.5"
"140","Samagra- Transforming governance","1","18"
"141","Samsung Electronics","13","7.5"
"142","Samsung Heavy Industries India","7","6.7"
"143","Samvardhan Motherson International Limited","5","3.1"
"144","SmartCare","1","4"
"145","Soft Pro India","1","4.2"
"146","Spurtree","4","4"
"147","ST Microelectronics Ltd.","1","3.6"
"148","Stoa","1","7.5"
"149","Successive Technologies Pvt Ltd","3","5.5"
"150","Super Share","2","23"
"151","Talent Serve","69","10"
"152","Target","2","8.02"
"153","TCS-DIGITAL","7","7.01"
"154","TCS-NINJA","48","3.36"
"155","Technify","1","15"
"156","TechRyde","4","4"
"157","Telgoo 5","5","3.5"
"158","Tezos","1","5.88"
"159","Think future","1","5.5"
"160","Timex","1","3.25"
"161","Torrent Gas","2","3.75"
"162","Torrent Power","2","3.75"
"163","UB","1","10"
"164","uCertify","2","4"
"165","Ultimate Kronos Group","8","15"
"166","Uni Converge Technologies","1","4"
"167","Unthinkable","5","5"
"168","Uproar Learning","4","4.5"
"169","Vinculum Solutions","3","5"
"170","Visdum","1","3"
"171","Wayspire Ed Tech Pvt. Ltd.","3","3.5"
"172","Webkul","5","3.6"
"173","Win Home","2","4"
"174","Zia Semiconductors","12","4.5"
"175","Z-Scaler","4","25"
"176","Zyla Health","1","5"
